content,score
"mudah d pahami,dan registrasi ny jg gk ribet. Tapi dari segi tampilan desain pas di apk ny kurang menarik(monoton). juga sering benget terjadi kendala saat transaksi,mending pake apk BNI MOBILE",1
"Secara keseluruhan sdh oke. Hanya saja Tolong ditingkatkan aplikasinya untuk Debet Kredit saldo tidak terdeteksi. Muncul hanya Debet dan Kredit saja di Transaksi, sehingga saat ada transaksi Debet atau kredit saldo terakhir tidak terpampang, tidak muncul. Terimakasih",4
"verifikasi wajah selalu gagal trus...udh sering bgt Wondr BNI kayak gini...bug nya gapernah dibenerin.. kecewa. . . Edit: wajah gak keluar frame, ga backlight, jernih, ttp gabisa, berarti ada yang SALAH dgn APPS nya, TOLONG DIPERBAIKI!!! ATAU MINIMAL ADA CAEA LAIN.... Jadi MALAS PAKAI BNI klo kayak gini",1
"Baru beberapa hari menggunakan, masih kurang terbiasa dengan tampilannya, terus tulisan atau ukuran huruf terlalu kecil dan agak ngeblur baik tampilan atau huruf dan angka pada saat transaksi contohnya saat mengisi pulsa, membuat agak kesulitan bagi pengguna dengan mata plus untuk melihat atau membacanya",3
"Pendaftarannya kok ribet amat, padahal sudah punya Rek BNI harusnya dipermudah, ini malah sama sperti baru mau buka rekening baru di BNI. *Edit tambahan: Saldo di BNI Mobile tidak terbaca di Wondr by BNI 😒 Edit 29/3/25: Kemarin lalu sudah ke BNI kantor cabang terdekat sekalian ganti kartu debit/ATM yg sudah expired, sudah dibantu sama CS. Katanya nanti 24 jam sudah bisa. Kalau belum bisa, nanti uninstal baru instal ulang lagi. Tapi ini sudah mau 3 hari pun belum muncul tuh saldo. ☹️",3
"Sebenarnya tampilannya lebih cantik dan menarik, tapi mohon maaf fiturnya kurang lengkap, kalau bisa menampilkan informasi keterangan pada mutasi transaksi masuk. Yang ada hanya keterangan dari mana, tp catatan keterangan transfernya tidak ada, tidak seperti aplikasi BNI lama",3
"Tolong fitur² yang sudah ada tolong di aktifkan semua, percuma kalo ganti apk tapi fitur² gak langsung bisa digunakan, masa setiap mau coba gunain masih ada kendala masih dalam pengembangan🥱, setidaknya kalo belum jadi semua jangan memaksakan, jadi kasian yang udah download dan daftar",1
"Apa emang lagi pengembangan ya, soalnya kadang beli pulsa lancar kadang juga bermasalah. Jdi transaksi pulsanya keterangan gagal, pulsanya blm masuk tapi saldonya kepotong sampai bbrp waktu blm ada keterangan selanjutnya. Moga lekas di tuntaskan masalahnya. Sama kadang juga rekening yg kita cari gak terdeteksi padahal nomornya sdh sesuai. Moga lebih sigap utk di selesai kan jika ada kendala lagi",2
"Jujur agak downgrade ya dibanding seblumnya, utk modelnya okelah eye catching, tp utk history udh ga se transparan dlu yang lengkap keluar/masuk berapa saldo akhir brp tiap per transaksi. Skrg cuma ada history saldo keluar masuk tp gaada informasi saldo akhir tiap transaksi. Sama perubahan dari sandi huruf min.8 karakter ke sandi yang cuma 6 angka agak diragukan keamanan nya, tp ya semoga aja aman deh.",4
"Masih lebih baik yg versi Mobile Banking, krna dalam versi ini tidak bisa melihat statement, hanya uang masuk dan keluar saja yang ditampilkan, kalau versi Mobile Banking saat ada transaksi (debit/kredit) bisa langsung di liat balance nya, kalau yg ini tidak bisa.",2
"aplikasi baik, mudah, simpel, tapi kurang 1. transaksi tanpa kartu. Ternyata sudah ada menu mobile tunai. Lengkap sudah wondr. Note : tidak usah banyak visual menyebalkan, Segini saja sudah sangat simpel, tepat, ringan, lancar!",5
"untuk keseluruhan semua fiturnya oke sih... cuma beberapa hari ini kalau buka wondr by BNI harus pakai WIFI, kalau pakai data selalu stak di logo awal saja. tolong bagi pihak BNI di perbaiki lagi, gimana kalau pas transaksi di luar rumah kalau gak bisa menggunakan paket data. terima kasih atas responnya",5
"aplikasi palsu, sering eror, dan punya banyak kelemahan, 1, wonder bisa aktif bersamaan dengan BNI banking 2, transfer gagal uang hilang sampai sekarang belum kembali 3, suka eror 4, potongan tidak ada keterangan jelasnya 5, sulit menghubungi costumer servis, tidak tersedia di wonder 6, data tidak aman dan sangat gampang untuk di hek 7, aplikasi belum sempurna, tapi sudah di jual 8, pakai karena terpaksa 9, pelayanan buruk 10, setiap 2 hari pasti eror",2
"Aplikasi yang bagus, tapi ada satu kekurangan, yaitu detail transaksi saldo awal sebelum transaksi dan saldo ahir setelah transaksi tidak ada, dimana hal ini sangant membantu mengontrol setiap transaksi apakah berhasi atau tidak, padahal di aplikasi lama BNI orange hal ini ada.. Krnapa malahan di aplikasi baru dihilangkan, agak mencurigakan ini..",4
"Pagi, mau tanya. Aku baru coba daftar sendiri pake bni wondr tapi waktu pengisian pertama selesaikan ada macam isi profil gitulah lah ya tp karena ga sengaja keluar dari aplikasi, malah jd ga bisa masuk dan balik muluk ke bagian yg harus di setujui, nah ini udah install ulang app tp takut salah lagi pas mau daftar, apa lebih baik aku harus ke Customer Servis saat mau daftar nya?",4
"aplikasi yg hampis selalu gangguang jika ingin digunakan... tiba tiba gx bis qris, tiba loading lama padahal inyernet kenceng, tiba error sistem. endingnya balik ke aplikasi bni yg lama, yg paling menjengkelkan, kadang mau dipakek tiba tiba registrasi ulang,ana harus pakek ktp dan wajah.. wahhh. bikin antrean panjang minimarket ni aplikasi",3
"ribet dah, coba wondr bikin fitur masuk lewat no WA saja, karena saya sudah mendaftar di hp lain karena kamera hp saya buram saat mengambil foto ktp tapi ketika akan login dgn hp sendiri dan dgn no WA yg sudah terdaftar di wondr hasilnya sama saja harus mengambil foto ktp lagi",3
"Masih bagus aplikasi yang lama, kalau yang ini susah untuk login,, loginnya lama,, tolong tim IT nya untuk diperbaiki programnya,, terlalu lamban bahkan sampai gak kebuka,, bahkan costumer mesti balik lagi ke aplikasi yang lama karna lebih cepet tanggapnya programnya.",3
"Saran dong, tolong untuk ditambahin fitur ""Setor Tunai"" di menu Mobile Tunai. Kayak gak affair aja, masa ada fitur tarik tunai tapi gak ada untuk setornya, harusnya itu jadi satu paket. Selebihnya udah bagus sih, gausah ditambahin menu yang gonjreng² kayak di tetangga sebelah.",4
"mohon bantuan kak, knp wondr ini hanya lancar atau bisa dibuka dgn menggunakan wifi saja tp bila menggunakan data bawaan HP nya jadi Ngeleg, Ngebug, mohon bantuannya agar tdk selalu mengunakan wifi saja baru bisa login & transaksi",5
